فارسی,English
روسیه,Russia
جنوبگان,Antarctica
کانادا,Canada
ایالات متحده آمریکا,United States
چین,China
برزیل,Brazil
استرالیا,Australia
هند,India
آرژانتین,Argentina
قزاقستان,Kazakhstan
الجزایر,Algeria
کنگو,Congo
دانمارک,Denmark
عربستان سعودی,Saudi Arabia
مکزیک,Mexico
اندونزی,Indonesia
سودان,Sudan
لیبی,Libya
ایران,Iran
مغولستان,Mongolia
پرو,Peru
چاد,Chad
نیجر,Niger
آنگولا,Angola
مالی,Mali
آفریقای جنوبی,South Africa
کلمبیا,Colombia
اتیوپی,Ethiopia
بولیوی,Bolivia
موریتانی,Mauritania
مصر,Egypt
تانزانیا,Tanzania
نیجریه,Nigeria
ونزوئلا,Venezuela
پاکستان,Pakistan
نامیبیا,Namibia
موزامبیک,Mozambique
ترکیه,Turkey
شیلی,Chile
زامبیا,Zambia
میانمار,Myanmar
افغانستان,Afghanistan
فرانسه,France
سومالی,Somalia
جمهوری آفریقای مرکزی,Central African Republic
سودان جنوبی,South Sudan
اوکراین,Ukraine
ماداگاسکار,Madagascar
بوتسوانا,Botswana
کنیا,Kenya
یمن,Yemen
تایلند,Thailand
اسپانیا,Spain
ترکمنستان,Turkmenistan
کامرون,Cameroon
پاپوآ گینه نو,Papua New Guinea
سوئد,Sweden
ازبکستان,Uzbekistan
مراکش,Morocco
عراق,Iraq
پاراگوئه,Paraguay
زیمبابوه,Zimbabwe
ژاپن,Japan
آلمان,Germany
جمهوری کنگو,Congo
فنلاند,Finland
ویتنام,Vietnam
مالزی,Malaysia
نروژ,Norway
ساحل عاج,Ivory Coast
لهستان,Poland
عمان,Oman
ایتالیا,Italy
فیلیپین,Philippines
بورکینافاسو,Burkina Faso
اکوادور,Ecuador
نیوزیلند,New Zealand
گابن,Gabon
صحرای غربی,Western Sahara
گینه,Guinea
بریتانیا,United Kingdom
اوگاندا,Uganda
غنا,Ghana
رومانی,Romania
لائوس,Laos
گویان,Guyana
بلاروس,Belarus
قرقیزستان,Kyrgyzstan
سنگال,Senegal
سوریه,Syria
کامبوج,Cambodia
اروگوئه,Uruguay
سورینام,Suriname
تونس,Tunisia
  نپال, Nepal
بنگلادش,Bangladesh
تاجیکستان,Tajikistan
سومالی‌لند,Somaliland
یونان,Greece
انگلستان,England
نیکاراگوئه,Nicaragua
کره شمالی,North Korea
مالاوی,Malawi
اریتره,Eritrea
بنین,Benin
هندوراس,Honduras
لیبریا,Liberia
بلغارستان,Bulgaria
کوبا,Cuba
گواتمالا,Guatemala
ایسلند,Iceland
کره جنوبی,South Korea
مجارستان,Hungary
پرتغال,Portugal
اردن,Jordan
صربستان,Serbia
آذربایجان,Azerbaijan
اتریش,Austria
امارات متحده عربی,United Arab Emirates
امارات,United Arab Emirates
اسکاتلند,Scotland
جمهوری چک,Czech
پاناما,Panama
سیرالئون,Sierra Leone
جمهوری ایرلند,Ireland
گرجستان,Georgia
سری‌لانکا,Sri Lanka
لیتوانی,Lithuania
لتونی,Latvia
سوالبارد,Svalbard (Norway)
توگو,Togo
کرواسی,Croatia
بوسنی و هرزگوین,Bosnia and Herzegovina
کاستاریکا,Costa Rica
اسلواکی,Slovakia
دومینیکن,Dominican
استونی,Estonia
دانمارک,Denmark
هلند,Netherlands
 سوئیس,Switzerland
بوتان,Bhutan
تایوان,Taiwan
گینه بیسائو,Guinea-Bissau
مولداوی,Moldova
بلژیک,Belgium
لسوتو,Lesotho
ارمنستان,Armenia
جزایر سلیمان,Solomon Islands
آلبانی,Albania
گینه استوایی,Equatorial Guinea
بوروندی,Burundi
هائیتی,Haiti
رواندا,Rwanda
مقدونیه شمالی,North Macedonia
جیبوتی,Djibouti
بلیز,Belize
ولز,Wales
اسرائیل,Israel
السالوادور,El Salvador
اسلوونی,Slovenia
کالدونیای جدید,New Caledonia
فیجی,Fiji
کویت,Kuwait
اسواتینی,Eswatini
تیمور شرقی,East Timor
باهاما,Bahamas
ایرلند شمالی,North Ireland
مونته‌نگرو,Montenegro
وانواتو,Vanuatu
جزایر فالکلند,Falkland Islands
قطر,Qatar
گامبیا,Gambia
جامائیکا,Jamaica
کوزوو,Kosovo
لبنان,Lebanon
قبرس,Cyprus
پورتوریکو,Puerto Rico
آبخاز,Abkhazia
فلسطین,Palestine
برونئی,Brunei
ترینیداد و توباگو,Trinidad and Tobago
ساموآ,Samoa
لوکزامبورگ,Luxembourg
موریس,Mauritius
جزایر فارو,Faroe Islands (Denmark)
هنگ کنگ,Hong Kong
کیریباتی,Kiribati
بحرین,Bahrain
دومینیکا,Dominica
تونگا,Tonga
سنگاپور,Singapore
جزیره من,Isle of Man
گوآم,Guam
آندورا,Andorra
پالائو,Palau
باربادوس,Barbados
جزایر ویرجین,Virgin Islands
گرنادا,Grenada
مالت,Malta
مالدیو,Maldives
ساموای آمریکا,American Samoa
لیختن‌اشتاین,Liechtenstein
سان مارینو,San Marino
سنت مارتین,Saint Martin
ماکائو,Macao
موناکو,Monaco
 واتیکان,Vatican City
